#Coverage (X)	Coverage
1.0	99.99989897076466
2.0	99.99929279535266
3.0	99.99863610532297
4.0	99.99802992991097
5.0	99.9976763275873
6.0	99.99727221064596
7.0	99.99686809370462
8.0	99.99666603523394
9.0	99.99570625749827
10.0	99.99525162593926
11.0	99.99499905285091
12.0	99.99484750899792
13.0	99.99459493590957
14.0	99.9942413335859
15.0	99.99358464355623
16.0	99.99297846814422
17.0	99.99136200037886
18.0	99.98848266717181
19.0	99.98065290143336
20.0	99.96378101913241
21.0	99.9358464355623
22.0	99.88270505777609
23.0	99.78753551809055
24.0	99.64074003914882
25.0	99.40342236534697
26.0	99.02299677969313
27.0	98.44672602134243
28.0	97.60363705247205
29.0	96.43669886973542
30.0	94.93252509945066
31.0	92.93421733914252
32.0	90.4427353665467
33.0	87.3561406832102
34.0	83.67135189745532
35.0	79.39614826040285
36.0	74.6091305171434
37.0	69.41274231230662
38.0	63.794658079181666
39.0	57.87939635031888
40.0	51.840171749700076
41.0	45.77023426153944
42.0	39.778897518469414
43.0	34.13353539180402
44.0	28.857586664140953
45.0	24.048393003725465
46.0	19.779200606175422
47.0	16.000303087706016
48.0	12.78297657384607
49.0	10.055086190566414
50.0	7.758641156784762
51.0	5.885761192144997
