#Insert size (bp)	insert size
152.0	1.0
153.0	1.0
155.0	1.0
163.0	1.0
167.0	1.0
170.0	2.0
172.0	1.0
173.0	3.0
174.0	2.0
176.0	2.0
178.0	1.0
179.0	1.0
180.0	4.0
181.0	1.0
182.0	3.0
183.0	3.0
184.0	4.0
185.0	3.0
186.0	3.0
187.0	4.0
188.0	2.0
189.0	8.0
190.0	9.0
191.0	13.0
192.0	7.0
193.0	14.0
194.0	11.0
195.0	16.0
196.0	11.0
197.0	13.0
198.0	15.0
199.0	21.0
200.0	12.0
201.0	26.0
202.0	23.0
203.0	23.0
204.0	36.0
205.0	33.0
206.0	53.0
207.0	41.0
208.0	41.0
209.0	47.0
210.0	51.0
211.0	71.0
212.0	73.0
213.0	66.0
214.0	70.0
215.0	77.0
216.0	102.0
217.0	112.0
218.0	102.0
219.0	137.0
220.0	149.0
221.0	155.0
222.0	176.0
223.0	184.0
224.0	194.0
225.0	217.0
226.0	206.0
227.0	261.0
228.0	285.0
229.0	297.0
230.0	289.0
231.0	318.0
232.0	372.0
233.0	408.0
234.0	449.0
235.0	495.0
236.0	499.0
237.0	565.0
238.0	618.0
239.0	597.0
240.0	678.0
241.0	710.0
242.0	764.0
243.0	748.0
244.0	836.0
245.0	926.0
246.0	944.0
247.0	1011.0
248.0	988.0
249.0	1081.0
250.0	1241.0
251.0	1295.0
252.0	1366.0
253.0	1401.0
254.0	1424.0
255.0	1535.0
256.0	1626.0
257.0	1769.0
258.0	1814.0
259.0	1918.0
260.0	2031.0
261.0	2062.0
262.0	2151.0
263.0	2332.0
264.0	2358.0
265.0	2421.0
266.0	2494.0
267.0	2632.0
268.0	2616.0
269.0	2902.0
270.0	2900.0
271.0	2979.0
272.0	3015.0
273.0	3207.0
274.0	3322.0
275.0	3491.0
276.0	3514.0
277.0	3589.0
278.0	3558.0
279.0	3727.0
280.0	3844.0
281.0	3957.0
282.0	4017.0
283.0	4152.0
284.0	4188.0
285.0	4218.0
286.0	4343.0
287.0	4397.0
288.0	4360.0
289.0	4526.0
290.0	4604.0
291.0	4546.0
292.0	4563.0
293.0	4588.0
294.0	4601.0
295.0	4645.0
296.0	4730.0
297.0	4660.0
298.0	4648.0
299.0	4613.0
300.0	4661.0
301.0	4676.0
302.0	4634.0
303.0	4724.0
304.0	4643.0
305.0	4646.0
306.0	4702.0
307.0	4428.0
308.0	4573.0
309.0	4521.0
310.0	4347.0
311.0	4377.0
312.0	4271.0
313.0	4274.0
314.0	4277.0
315.0	4129.0
316.0	4005.0
317.0	4017.0
318.0	3915.0
319.0	3673.0
320.0	3689.0
321.0	3611.0
322.0	3623.0
323.0	3428.0
324.0	3366.0
325.0	3368.0
326.0	3180.0
327.0	3009.0
328.0	2963.0
329.0	2817.0
330.0	2766.0
331.0	2714.0
332.0	2634.0
333.0	2564.0
334.0	2452.0
335.0	2336.0
336.0	2275.0
337.0	2149.0
338.0	2041.0
339.0	2006.0
340.0	1922.0
341.0	1832.0
342.0	1764.0
343.0	1654.0
344.0	1582.0
345.0	1448.0
346.0	1430.0
347.0	1368.0
348.0	1264.0
349.0	1268.0
350.0	1121.0
351.0	1080.0
352.0	972.0
353.0	965.0
354.0	925.0
355.0	849.0
356.0	790.0
357.0	773.0
358.0	675.0
359.0	649.0
360.0	612.0
361.0	553.0
362.0	564.0
363.0	498.0
364.0	528.0
365.0	424.0
366.0	388.0
367.0	342.0
368.0	382.0
369.0	276.0
370.0	289.0
371.0	307.0
372.0	257.0
373.0	231.0
374.0	236.0
375.0	200.0
376.0	183.0
377.0	177.0
378.0	147.0
379.0	142.0
380.0	147.0
381.0	122.0
382.0	102.0
383.0	94.0
384.0	86.0
385.0	71.0
386.0	76.0
387.0	70.0
388.0	66.0
389.0	55.0
390.0	52.0
391.0	46.0
392.0	40.0
393.0	36.0
394.0	33.0
395.0	43.0
396.0	26.0
397.0	26.0
398.0	26.0
399.0	21.0
400.0	20.0
401.0	14.0
402.0	20.0
403.0	13.0
404.0	19.0
405.0	14.0
406.0	8.0
407.0	6.0
408.0	4.0
409.0	11.0
410.0	3.0
411.0	6.0
412.0	3.0
413.0	4.0
414.0	4.0
415.0	2.0
416.0	3.0
417.0	3.0
418.0	2.0
420.0	1.0
421.0	1.0
422.0	2.0
424.0	2.0
425.0	1.0
426.0	2.0
432.0	1.0
434.0	1.0
435.0	1.0
436.0	1.0
440.0	1.0
461.0	1.0
466.0	1.0
481.0	1.0
485.0	1.0
