#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	9.328967376601084E-6
7.0	0.0
8.0	0.0
9.0	9.328967376601084E-6
10.0	1.8657934753202167E-5
11.0	9.328967376601084E-6
12.0	9.328967376601084E-6
13.0	1.8657934753202167E-5
14.0	9.328967376601084E-6
15.0	2.7986902129803252E-5
16.0	9.328967376601084E-6
17.0	6.530277163620759E-5
18.0	3.7315869506404334E-5
19.0	1.6792141277881953E-4
20.0	8.396070638940975E-5
21.0	3.545007603108412E-4
22.0	6.530277163620759E-4
23.0	9.515546724133104E-4
24.0	0.0016418982582817904
25.0	0.0024815053221758877
26.0	0.0031438620059145656
27.0	0.004459246406015318
28.0	0.0058492625451288804
29.0	0.007780358792085304
30.0	0.009114401126939259
31.0	0.010793615254727454
32.0	0.012510145252022055
33.0	0.013377739218045954
34.0	0.014758426389782912
35.0	0.01562602035580682
36.0	0.016950733723284168
37.0	0.01659623296297333
38.0	0.01858330301418936
39.0	0.01867659268795537
40.0	0.02041178062000317
41.0	0.020299833011483956
42.0	0.021316690455533475
43.0	0.021792467791740135
44.0	0.02181112572649333
45.0	0.023620945397553945
46.0	0.023536984691164536
47.0	0.024329946918175624
48.0	0.025160225014693127
49.0	0.026111779687106436
50.0	0.02590654240482121
51.0	0.02946087897530622
52.0	0.025729292024665788
53.0	0.027940257292920247
54.0	0.030095248756915098
55.0	0.02972209006185106
56.0	0.029731419029227654
57.0	0.030515052288862147
58.0	0.02993665631151288
59.0	0.031261369678990236
60.0	0.029936656311512877
61.0	0.029945985278889482
62.0	0.028434692563880107
63.0	0.027072663326896347
64.0	0.025094922243056917
65.0	0.02339705018051552
66.0	0.022296232030076593
67.0	0.0189098168723704
68.0	0.016456298452324315
69.0	0.014226675249316654
70.0	0.011903762372542984
71.0	0.009748770908548131
72.0	0.007444515966527665
73.0	0.006157118468556715
74.0	0.005373485208922225
75.0	0.0045338781450281265
76.0	0.0041980353194704875
77.0	0.0036756131463808275
78.0	0.00387152146128945
79.0	0.003078559234278358
80.0	0.002397544615786479
81.0	0.002210965268254457
82.0	0.0016325692909051896
83.0	0.001100818150438928
84.0	8.396070638940976E-4
85.0	7.556463575046879E-4
86.0	5.59738042596065E-4
87.0	4.38461466700251E-4
88.0	2.891979886746336E-4
89.0	1.5859244540221846E-4
90.0	1.9590831490862276E-4
91.0	4.6644836883005416E-5
92.0	7.463173901280867E-5
93.0	3.7315869506404334E-5
94.0	2.7986902129803252E-5
95.0	9.328967376601084E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
