#Coverage	Number of genomic locations
0.0	4.0
1.0	14.0
2.0	14.0
3.0	10.0
4.0	6.0
5.0	5.0
6.0	5.0
7.0	1.0
8.0	3.0
9.0	7.0
10.0	3.0
11.0	6.0
12.0	26.0
13.0	10.0
14.0	9.0
15.0	19.0
16.0	17.0
17.0	41.0
18.0	89.0
19.0	209.0
20.0	459.0
21.0	877.0
22.0	1910.0
23.0	3037.0
24.0	5105.0
25.0	7845.0
26.0	11544.0
27.0	17258.0
28.0	23797.0
29.0	31589.0
30.0	39683.0
31.0	50959.0
32.0	62717.0
33.0	74797.0
34.0	85099.0
35.0	96096.0
36.0	105049.0
37.0	113359.0
38.0	118792.0
39.0	120735.0
40.0	119628.0
41.0	116587.0
42.0	111120.0
43.0	102484.0
44.0	93615.0
45.0	82942.0
46.0	73095.0
47.0	62319.0
48.0	52751.0
49.0	43732.0
50.0	35763.0
51.0	29032.0
52.0	22574.0
53.0	17417.0
54.0	13089.0
55.0	9736.0
56.0	6839.0
57.0	4806.0
58.0	3430.0
59.0	2517.0
60.0	1755.0
61.0	1038.0
62.0	694.0
63.0	461.0
64.0	348.0
65.0	224.0
66.0	143.0
67.0	118.0
68.0	63.0
69.0	25.0
70.0	12.0
71.0	14.0
72.0	15.0
73.0	7.0
74.0	11.0
75.0	7.0
76.0	8.0
77.0	1.0
