#Coverage (X)	Coverage
1.0	99.99959588305866
2.0	99.99893919302899
3.0	99.99823198838163
4.0	99.9979794152933
5.0	99.99732272526363
6.0	99.99641346214561
7.0	99.99530214055693
8.0	99.99464545052724
9.0	99.99429184820357
10.0	99.99419081896824
11.0	99.99403927511524
12.0	99.99373618740923
13.0	99.99333207046789
14.0	99.99277640967355
15.0	99.99227126349687
16.0	99.99201869040854
17.0	99.98999810570184
18.0	99.98226936919872
19.0	99.97024689019385
20.0	99.95367809559892
21.0	99.9241775588811
22.0	99.86689398244617
23.0	99.77298730820232
24.0	99.62891961861463
25.0	99.39746164046221
26.0	99.02946265075457
27.0	98.482338826798
28.0	97.70027151606996
29.0	96.62082465113342
30.0	95.17105512407653
31.0	93.3103996969123
32.0	90.8948411946707
33.0	87.89649554839932
34.0	84.2541895561028
35.0	79.99292795352656
36.0	75.15792132348298
37.0	69.78751026078172
38.0	64.07294310791185
39.0	58.13959714592411
40.0	52.086076908505405
41.0	46.045033781650574
42.0	40.0940077034792
43.0	34.453596009345205
44.0	29.200378859632508
45.0	24.44084106838416
46.0	20.13613689461387
47.0	16.347540569552308
48.0	13.060554397928897
49.0	10.248759234703542
50.0	7.91665088084865
51.0	6.023767127612558
