#Coverage (X)	Coverage
1.0	99.99984845614699
2.0	99.99939382458798
3.0	99.99888867841132
4.0	99.99777735682262
5.0	99.99681757908695
6.0	99.99641346214561
7.0	99.99611037443961
8.0	99.99575677211593
9.0	99.99520111132159
10.0	99.99510008208625
11.0	99.99504956746858
12.0	99.99464545052724
13.0	99.99439287743891
14.0	99.99373618740923
15.0	99.99282692429122
16.0	99.99171560270253
17.0	99.9891393572015
18.0	99.98393635158173
19.0	99.9776220243733
20.0	99.9656500599861
21.0	99.93958451726968
22.0	99.89098945507357
23.0	99.7865252257372
24.0	99.62401970070088
25.0	99.36796110374439
26.0	98.99031382206226
27.0	98.46157731893666
28.0	97.69941276756961
29.0	96.62037001957441
30.0	95.14135252888805
31.0	93.22023110437583
32.0	90.76193723558755
33.0	87.68650628275557
34.0	84.06612363452675
35.0	79.8523962871756
36.0	75.11387257687693
37.0	69.9125844541264
38.0	64.30470417377029
39.0	58.45920313190629
40.0	52.413563174843716
41.0	46.37039843404685
42.0	40.337791248342484
43.0	34.62665908947402
44.0	29.30918734608828
45.0	24.4389215129128
46.0	20.080368756708978
47.0	16.28490244364464
48.0	13.015545873587186
49.0	10.2367367556987
50.0	7.920287933320722
51.0	6.046700764033616
