#Coverage	Number of genomic locations
0.0	3.0
1.0	9.0
2.0	10.0
3.0	22.0
4.0	19.0
5.0	8.0
6.0	6.0
7.0	7.0
8.0	11.0
9.0	2.0
10.0	1.0
11.0	8.0
12.0	5.0
13.0	13.0
14.0	18.0
15.0	22.0
16.0	51.0
17.0	103.0
18.0	125.0
19.0	237.0
20.0	516.0
21.0	962.0
22.0	2068.0
23.0	3217.0
24.0	5069.0
25.0	7476.0
26.0	10467.0
27.0	15088.0
28.0	21361.0
29.0	29279.0
30.0	38031.0
31.0	48665.0
32.0	60882.0
33.0	71670.0
34.0	83416.0
35.0	93805.0
36.0	102966.0
37.0	111015.0
38.0	115719.0
39.0	119681.0
40.0	119632.0
41.0	119423.0
42.0	113059.0
43.0	105266.0
44.0	96413.0
45.0	86283.0
46.0	75136.0
47.0	64721.0
48.0	55010.0
49.0	45857.0
50.0	37090.0
51.0	29763.0
52.0	23423.0
53.0	18440.0
54.0	13750.0
55.0	10247.0
56.0	7424.0
57.0	5143.0
58.0	3790.0
59.0	2723.0
60.0	1794.0
61.0	1048.0
62.0	703.0
63.0	557.0
64.0	378.0
65.0	239.0
66.0	110.0
67.0	71.0
68.0	42.0
69.0	22.0
70.0	18.0
71.0	11.0
72.0	6.0
