#Coverage	Number of genomic locations
0.0	5.0
1.0	18.0
2.0	21.0
3.0	8.0
4.0	8.0
5.0	5.0
6.0	13.0
7.0	6.0
8.0	2.0
9.0	13.0
10.0	11.0
11.0	11.0
12.0	9.0
13.0	2.0
14.0	6.0
15.0	30.0
16.0	26.0
17.0	33.0
18.0	161.0
19.0	310.0
20.0	576.0
21.0	1287.0
22.0	1877.0
23.0	2569.0
24.0	4421.0
25.0	6536.0
26.0	10418.0
27.0	15145.0
28.0	20807.0
29.0	28270.0
30.0	36938.0
31.0	47279.0
32.0	59132.0
33.0	71696.0
34.0	82969.0
35.0	96116.0
36.0	106273.0
37.0	114300.0
38.0	120184.0
39.0	123202.0
40.0	122988.0
41.0	119542.0
42.0	114450.0
43.0	106674.0
44.0	97031.0
45.0	85953.0
46.0	74643.0
47.0	63823.0
48.0	53747.0
49.0	43284.0
50.0	34650.0
51.0	27534.0
52.0	21652.0
53.0	16706.0
54.0	13223.0
55.0	9974.0
56.0	7235.0
57.0	5134.0
58.0	3554.0
59.0	2472.0
60.0	1701.0
61.0	1035.0
62.0	750.0
63.0	448.0
64.0	276.0
65.0	171.0
66.0	134.0
67.0	39.0
68.0	29.0
69.0	38.0
70.0	38.0
71.0	4.0
