#Insert size (bp)	insert size
151.0	1.0
156.0	2.0
165.0	1.0
166.0	1.0
169.0	1.0
173.0	2.0
175.0	1.0
176.0	3.0
177.0	1.0
179.0	1.0
180.0	2.0
181.0	2.0
182.0	5.0
183.0	4.0
184.0	8.0
185.0	3.0
186.0	5.0
187.0	4.0
188.0	4.0
189.0	7.0
190.0	10.0
191.0	11.0
192.0	5.0
193.0	9.0
194.0	11.0
195.0	10.0
196.0	20.0
197.0	9.0
198.0	18.0
199.0	12.0
200.0	14.0
201.0	25.0
202.0	15.0
203.0	26.0
204.0	31.0
205.0	33.0
206.0	36.0
207.0	36.0
208.0	46.0
209.0	38.0
210.0	61.0
211.0	67.0
212.0	59.0
213.0	77.0
214.0	102.0
215.0	84.0
216.0	98.0
217.0	110.0
218.0	124.0
219.0	142.0
220.0	130.0
221.0	165.0
222.0	173.0
223.0	194.0
224.0	180.0
225.0	223.0
226.0	243.0
227.0	245.0
228.0	281.0
229.0	315.0
230.0	257.0
231.0	344.0
232.0	379.0
233.0	387.0
234.0	434.0
235.0	497.0
236.0	555.0
237.0	561.0
238.0	619.0
239.0	612.0
240.0	651.0
241.0	716.0
242.0	748.0
243.0	782.0
244.0	851.0
245.0	890.0
246.0	980.0
247.0	1084.0
248.0	1125.0
249.0	1158.0
250.0	1282.0
251.0	1216.0
252.0	1357.0
253.0	1419.0
254.0	1546.0
255.0	1555.0
256.0	1624.0
257.0	1711.0
258.0	1900.0
259.0	1933.0
260.0	1976.0
261.0	2078.0
262.0	2160.0
263.0	2331.0
264.0	2318.0
265.0	2405.0
266.0	2496.0
267.0	2660.0
268.0	2689.0
269.0	2813.0
270.0	2939.0
271.0	2884.0
272.0	3125.0
273.0	3161.0
274.0	3260.0
275.0	3399.0
276.0	3478.0
277.0	3434.0
278.0	3651.0
279.0	3760.0
280.0	3892.0
281.0	3885.0
282.0	3936.0
283.0	4100.0
284.0	4050.0
285.0	4386.0
286.0	4247.0
287.0	4334.0
288.0	4364.0
289.0	4497.0
290.0	4531.0
291.0	4557.0
292.0	4539.0
293.0	4593.0
294.0	4685.0
295.0	4658.0
296.0	4604.0
297.0	4701.0
298.0	4701.0
299.0	4720.0
300.0	4699.0
301.0	4728.0
302.0	4536.0
303.0	4733.0
304.0	4592.0
305.0	4686.0
306.0	4642.0
307.0	4571.0
308.0	4573.0
309.0	4482.0
310.0	4416.0
311.0	4321.0
312.0	4248.0
313.0	4176.0
314.0	4201.0
315.0	4167.0
316.0	4023.0
317.0	3953.0
318.0	3935.0
319.0	3849.0
320.0	3674.0
321.0	3532.0
322.0	3466.0
323.0	3428.0
324.0	3371.0
325.0	3314.0
326.0	3173.0
327.0	3128.0
328.0	2964.0
329.0	2924.0
330.0	2847.0
331.0	2756.0
332.0	2605.0
333.0	2596.0
334.0	2450.0
335.0	2351.0
336.0	2176.0
337.0	2156.0
338.0	2100.0
339.0	1979.0
340.0	1921.0
341.0	1855.0
342.0	1742.0
343.0	1672.0
344.0	1564.0
345.0	1488.0
346.0	1380.0
347.0	1361.0
348.0	1318.0
349.0	1281.0
350.0	1139.0
351.0	1092.0
352.0	976.0
353.0	977.0
354.0	941.0
355.0	860.0
356.0	837.0
357.0	749.0
358.0	721.0
359.0	651.0
360.0	618.0
361.0	563.0
362.0	538.0
363.0	498.0
364.0	489.0
365.0	432.0
366.0	381.0
367.0	348.0
368.0	359.0
369.0	316.0
370.0	276.0
371.0	264.0
372.0	257.0
373.0	251.0
374.0	238.0
375.0	191.0
376.0	196.0
377.0	206.0
378.0	153.0
379.0	131.0
380.0	141.0
381.0	99.0
382.0	105.0
383.0	103.0
384.0	101.0
385.0	69.0
386.0	77.0
387.0	72.0
388.0	53.0
389.0	57.0
390.0	53.0
391.0	43.0
392.0	51.0
393.0	30.0
394.0	40.0
395.0	24.0
396.0	23.0
397.0	21.0
398.0	31.0
399.0	13.0
400.0	26.0
401.0	15.0
402.0	18.0
403.0	11.0
404.0	10.0
405.0	15.0
406.0	7.0
407.0	9.0
408.0	6.0
409.0	9.0
410.0	1.0
411.0	9.0
412.0	1.0
413.0	4.0
414.0	4.0
415.0	4.0
416.0	2.0
417.0	3.0
418.0	4.0
419.0	2.0
420.0	1.0
421.0	1.0
423.0	3.0
424.0	1.0
426.0	2.0
427.0	1.0
429.0	1.0
431.0	1.0
432.0	2.0
435.0	2.0
438.0	2.0
443.0	1.0
447.0	1.0
450.0	1.0
459.0	1.0
464.0	1.0
490.0	1.0
