#Coverage	Number of genomic locations
0.0	6.0
1.0	5.0
2.0	18.0
3.0	10.0
4.0	9.0
5.0	13.0
6.0	11.0
7.0	10.0
8.0	3.0
9.0	3.0
10.0	15.0
11.0	3.0
12.0	10.0
13.0	23.0
14.0	17.0
15.0	36.0
16.0	50.0
17.0	72.0
18.0	109.0
19.0	251.0
20.0	617.0
21.0	1121.0
22.0	1888.0
23.0	3288.0
24.0	5074.0
25.0	7623.0
26.0	11573.0
27.0	16403.0
28.0	22535.0
29.0	30296.0
30.0	39469.0
31.0	49570.0
32.0	61233.0
33.0	71755.0
34.0	84408.0
35.0	93825.0
36.0	104172.0
37.0	112258.0
38.0	116418.0
39.0	118796.0
40.0	118819.0
41.0	118500.0
42.0	112947.0
43.0	104265.0
44.0	94593.0
45.0	85653.0
46.0	75158.0
47.0	64255.0
48.0	54776.0
49.0	45000.0
50.0	37014.0
51.0	29404.0
52.0	23534.0
53.0	17774.0
54.0	13160.0
55.0	9667.0
56.0	6791.0
57.0	4934.0
58.0	3319.0
59.0	2457.0
60.0	1722.0
61.0	1149.0
62.0	733.0
63.0	483.0
64.0	259.0
65.0	128.0
66.0	62.0
67.0	29.0
68.0	12.0
69.0	14.0
70.0	9.0
71.0	2.0
72.0	6.0
73.0	1.0
