#Coverage	Number of genomic locations
0.0	10.0
1.0	5.0
2.0	6.0
3.0	8.0
4.0	13.0
5.0	11.0
6.0	11.0
7.0	12.0
8.0	3.0
9.0	5.0
10.0	2.0
12.0	3.0
13.0	6.0
14.0	29.0
15.0	14.0
16.0	37.0
17.0	60.0
18.0	158.0
19.0	438.0
20.0	793.0
21.0	1372.0
22.0	1964.0
23.0	2951.0
24.0	5256.0
25.0	7792.0
26.0	11566.0
27.0	16783.0
28.0	23439.0
29.0	30580.0
30.0	39233.0
31.0	49663.0
32.0	59423.0
33.0	71283.0
34.0	84336.0
35.0	93776.0
36.0	104225.0
37.0	110594.0
38.0	117154.0
39.0	118676.0
40.0	118371.0
41.0	115998.0
42.0	111216.0
43.0	105003.0
44.0	95748.0
45.0	85754.0
46.0	74406.0
47.0	63836.0
48.0	54614.0
49.0	45611.0
50.0	37578.0
51.0	29677.0
52.0	22917.0
53.0	18047.0
54.0	13779.0
55.0	10130.0
56.0	7508.0
57.0	5198.0
58.0	4002.0
59.0	2809.0
60.0	2091.0
61.0	1340.0
62.0	878.0
63.0	656.0
64.0	329.0
65.0	191.0
66.0	116.0
67.0	69.0
68.0	32.0
69.0	20.0
70.0	9.0
71.0	2.0
