#Coverage (X)	Coverage
1.0	99.99989897076466
2.0	99.99924228073499
3.0	99.99863610532297
4.0	99.9978278714403
5.0	99.99722169602829
6.0	99.99691860832229
7.0	99.99651449138095
8.0	99.99600934520427
9.0	99.99535265517459
10.0	99.99474647976258
11.0	99.99444339205658
12.0	99.99414030435057
13.0	99.99383721664456
14.0	99.99338258508556
15.0	99.99277640967355
16.0	99.9922207488792
17.0	99.99095788343752
18.0	99.98863421102482
19.0	99.98489612931742
20.0	99.97423754498958
21.0	99.95196059859822
22.0	99.90659847193281
23.0	99.82345141125214
24.0	99.68322283260719
25.0	99.44267222327461
26.0	99.07543095283198
27.0	98.5392182862916
28.0	97.75326135000316
29.0	96.62122876807476
30.0	95.07735050830334
31.0	93.03974237544989
32.0	90.44824145987245
33.0	87.29779629980426
34.0	83.54728799646398
35.0	79.21222453747554
36.0	74.38348172002273
37.0	69.06555534507798
38.0	63.33623792384922
39.0	57.416227820925684
40.0	51.32674117572773
41.0	45.21613942034477
42.0	39.35225105764981
43.0	33.706080697101726
44.0	28.474786891456716
45.0	23.73429311106902
46.0	19.52273789227759
47.0	15.790616909768275
48.0	12.542931110690162
49.0	9.846612363452678
50.0	7.62705057776094
51.0	5.794026646460821
