#Coverage	Number of genomic locations
0.0	2.0
1.0	13.0
2.0	12.0
3.0	16.0
4.0	12.0
5.0	6.0
6.0	8.0
7.0	10.0
8.0	13.0
9.0	12.0
10.0	6.0
11.0	6.0
12.0	6.0
13.0	9.0
14.0	12.0
15.0	11.0
16.0	25.0
17.0	46.0
18.0	74.0
19.0	211.0
20.0	441.0
21.0	898.0
22.0	1646.0
23.0	2776.0
24.0	4762.0
25.0	7270.0
26.0	10615.0
27.0	15559.0
28.0	22410.0
29.0	30563.0
30.0	40337.0
31.0	51302.0
32.0	62367.0
33.0	74246.0
34.0	85818.0
35.0	95591.0
36.0	105275.0
37.0	113419.0
38.0	117194.0
39.0	120549.0
40.0	120967.0
41.0	116083.0
42.0	111773.0
43.0	103560.0
44.0	93844.0
45.0	83373.0
46.0	73882.0
47.0	64292.0
48.0	53377.0
49.0	43939.0
50.0	36287.0
51.0	28685.0
52.0	22534.0
53.0	17191.0
54.0	12753.0
55.0	9664.0
56.0	7081.0
57.0	5259.0
58.0	3506.0
59.0	2454.0
60.0	1870.0
61.0	1279.0
62.0	926.0
63.0	563.0
64.0	351.0
65.0	231.0
66.0	135.0
67.0	92.0
68.0	63.0
69.0	42.0
70.0	17.0
71.0	4.0
