#Coverage (X)	Coverage
1.0	99.99984845614699
2.0	99.99919176611732
3.0	99.99808044452864
4.0	99.99717118141062
5.0	99.9965650059986
6.0	99.99621140367493
7.0	99.9958072867336
8.0	99.99555471364526
9.0	99.9945444212919
10.0	99.99373618740923
11.0	99.99338258508556
12.0	99.99272589505588
13.0	99.99262486582055
14.0	99.99196817579087
15.0	99.99121045652586
16.0	99.9902001641725
17.0	99.98954347414283
18.0	99.9874218602008
19.0	99.98156216455136
20.0	99.96787270316348
21.0	99.94140304350572
22.0	99.88876681189619
23.0	99.80743827745154
24.0	99.66928079813096
25.0	99.43711561533118
26.0	99.09038327966155
27.0	98.53931931552692
28.0	97.74563364273537
29.0	96.66123634526741
30.0	95.19494853823325
31.0	93.30110500726148
32.0	90.86847256424828
33.0	87.83926248658206
34.0	84.27788091178886
35.0	80.15124076529645
36.0	75.49005493464671
37.0	70.34084738271137
38.0	64.73215886847257
39.0	58.80346025131023
40.0	52.72872387447118
41.0	46.61898086758856
42.0	40.671692871124584
43.0	34.95651954284271
44.0	29.619195554713656
45.0	24.711548904464237
46.0	20.339407716107857
47.0	16.54540632695587
48.0	13.271250868219994
49.0	10.49426027656753
50.0	8.179175348866579
51.0	6.286594683336489
