#Coverage	Number of genomic locations
0.0	3.0
1.0	13.0
2.0	22.0
3.0	18.0
4.0	12.0
5.0	7.0
6.0	8.0
7.0	5.0
8.0	20.0
9.0	16.0
10.0	7.0
11.0	13.0
12.0	2.0
13.0	13.0
14.0	15.0
15.0	20.0
16.0	13.0
17.0	42.0
18.0	116.0
19.0	271.0
20.0	524.0
21.0	1042.0
22.0	1610.0
23.0	2735.0
24.0	4596.0
25.0	6864.0
26.0	10909.0
27.0	15712.0
28.0	21467.0
29.0	29027.0
30.0	37491.0
31.0	48157.0
32.0	59967.0
33.0	70502.0
34.0	81692.0
35.0	92274.0
36.0	101935.0
37.0	111031.0
38.0	117366.0
39.0	120257.0
40.0	120950.0
41.0	117734.0
42.0	113139.0
43.0	105659.0
44.0	97153.0
45.0	86552.0
46.0	75107.0
47.0	64816.0
48.0	54974.0
49.0	45830.0
50.0	37466.0
51.0	30290.0
52.0	24523.0
53.0	18579.0
54.0	14105.0
55.0	10701.0
56.0	7814.0
57.0	5496.0
58.0	3801.0
59.0	2874.0
60.0	2149.0
61.0	1502.0
62.0	936.0
63.0	640.0
64.0	405.0
65.0	273.0
66.0	148.0
67.0	70.0
68.0	49.0
69.0	31.0
70.0	33.0
71.0	24.0
72.0	6.0
73.0	2.0
