#Position (bp)	insert size
80556.0	298.80866807610994
241667.0	298.24764247642474
402778.0	300.2652016215063
563889.0	300.7925724637681
725000.0	300.2656072644722
886111.0	301.06997971602436
1047222.0	299.2282051282051
1208333.0	300.2939497716895
1369444.0	299.6894775570272
1530555.0	298.7586134009723
1691666.0	300.4084372003835
1852777.0	299.70045045045043
2013888.0	300.57341576506957
2174999.0	299.24754098360654
2336110.0	299.36051353226924
2497221.0	298.36174863387976
2658332.0	297.6626016260163
2819443.0	297.30186799501865
2980554.0	296.7554766133807
3141665.0	296.8379607467688
3302776.0	297.57358947209195
3463887.0	301.521327014218
3624998.0	299.8506137372682
3786109.0	299.07147899752914
3947220.0	300.1516345017724
4108331.0	299.9116331096197
4269442.0	302.52542372881356
4430553.0	0.0
4591664.0	0.0
4752775.0	300.5303791685701
4913886.0	299.8935688405797
5074997.0	299.0676202860858
5236108.0	299.8449848024316
5397219.0	0.0
5558330.0	299.53363062058713
5719441.0	300.87117552334945
5880552.0	299.81857960282736
6041663.0	299.72426998563907
6202774.0	297.3562753036437
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	300.59234234234236
7008329.0	0.0
7169440.0	302.5350318471338
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	302.4449404761905
7974995.0	299.59198664440737
8136106.0	297.4318181818182
8297217.0	299.6027397260274
8458328.0	0.0
8619439.0	299.6898817345598
8780550.0	300.314375
8941661.0	301.8199121522694
9102772.0	0.0
9263883.0	298.4452975047985
9424994.0	299.6483539974348
9586105.0	301.0580069410015
9747216.0	0.0
9908327.0	0.0
1.0069438E7	299.34405144694534
1.0230549E7	300.00095693779906
1.039166E7	299.03074558032284
1.0552771E7	300.0322817314747
1.0713882E7	299.15276381909547
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	299.56363636363636
1.1841659E7	299.19348659003833
1.200277E7	299.6272727272727
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	299.4984984984985
1.3130547E7	300.05096660808437
1.3291658E7	300.9090183559457
1.3452769E7	301.13950276243094
1.361388E7	300.68079640333974
1.3774991E7	300.005604288499
1.3936102E7	298.7838541666667
1.4097213E7	297.8814814814815
1.4258324E7	298.7390476190476
1.4419435E7	297.9316239316239
1.4580546E7	0.0
1.4741657E7	300.1118421052632
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	298.9189189189189
1.5386101E7	301.8965517241379
1.5547212E7	298.9530201342282
1.5708323E7	0.0
1.5869434E7	298.70022883295195
1.6030545E7	300.81544028950543
1.6191656E7	0.0
1.6352767E7	300.3164944508228
1.6513878E7	302.4625074985003
1.6674989E7	300.6261079774375
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	302.37423312883436
1.7319433E7	297.9143389199255
1.7480544E7	300.147572815534
1.7641655E7	299.5361713967724
1.7802766E7	299.2758620689655
1.7963877E7	300.11502849002846
