#Coverage (X)	Coverage
1.0	99.99989897076466
2.0	99.99934330997033
3.0	99.99813095914631
4.0	99.99762581296963
5.0	99.99712066679295
6.0	99.99681757908695
7.0	99.99621140367493
8.0	99.99560522826293
9.0	99.99545368440992
10.0	99.99520111132159
11.0	99.99494853823325
12.0	99.99474647976258
13.0	99.99434236282124
14.0	99.99408978973291
15.0	99.9936351581739
16.0	99.99307949737955
17.0	99.98999810570184
18.0	99.98555281934709
19.0	99.97807665593231
20.0	99.96357896066174
21.0	99.94125149965271
22.0	99.89735429689966
23.0	99.82117825345709
24.0	99.68499084422555
25.0	99.46939445602071
26.0	99.10912420281619
27.0	98.5295699943171
28.0	97.69961482604029
29.0	96.53611163730504
30.0	94.99253646523962
31.0	93.00114920755193
32.0	90.46481025446738
33.0	87.38154953589695
34.0	83.76318747237482
35.0	79.57683904779945
36.0	74.84321525541453
37.0	69.60090926311801
38.0	63.96474079686809
39.0	58.0123508240197
40.0	51.96625623539811
41.0	46.006339584517264
42.0	40.174123887099825
43.0	34.58983393319441
44.0	29.360863799962104
45.0	24.627290522194855
46.0	20.321778114541885
47.0	16.550154701016595
48.0	13.310096609206283
49.0	10.596804950432528
50.0	8.286165309086314
51.0	6.394847508997913
