#Insert size (bp)	insert size
154.0	1.0
162.0	1.0
169.0	2.0
172.0	1.0
173.0	1.0
174.0	1.0
176.0	3.0
178.0	2.0
179.0	2.0
180.0	1.0
181.0	5.0
182.0	1.0
183.0	4.0
184.0	1.0
185.0	2.0
186.0	4.0
187.0	2.0
188.0	1.0
189.0	1.0
190.0	7.0
191.0	5.0
192.0	11.0
193.0	12.0
194.0	7.0
195.0	8.0
196.0	12.0
197.0	17.0
198.0	6.0
199.0	24.0
200.0	15.0
201.0	20.0
202.0	25.0
203.0	30.0
204.0	30.0
205.0	23.0
206.0	48.0
207.0	38.0
208.0	57.0
209.0	51.0
210.0	56.0
211.0	69.0
212.0	57.0
213.0	73.0
214.0	89.0
215.0	93.0
216.0	96.0
217.0	112.0
218.0	111.0
219.0	136.0
220.0	129.0
221.0	162.0
222.0	177.0
223.0	180.0
224.0	207.0
225.0	241.0
226.0	234.0
227.0	233.0
228.0	272.0
229.0	339.0
230.0	333.0
231.0	368.0
232.0	375.0
233.0	386.0
234.0	400.0
235.0	470.0
236.0	496.0
237.0	534.0
238.0	609.0
239.0	626.0
240.0	672.0
241.0	682.0
242.0	755.0
243.0	839.0
244.0	827.0
245.0	891.0
246.0	973.0
247.0	992.0
248.0	1033.0
249.0	1179.0
250.0	1240.0
251.0	1240.0
252.0	1375.0
253.0	1406.0
254.0	1446.0
255.0	1607.0
256.0	1712.0
257.0	1699.0
258.0	1823.0
259.0	1851.0
260.0	2077.0
261.0	2044.0
262.0	2117.0
263.0	2346.0
264.0	2380.0
265.0	2358.0
266.0	2542.0
267.0	2603.0
268.0	2641.0
269.0	2860.0
270.0	2925.0
271.0	2950.0
272.0	3039.0
273.0	3168.0
274.0	3252.0
275.0	3348.0
276.0	3439.0
277.0	3584.0
278.0	3603.0
279.0	3760.0
280.0	3912.0
281.0	3849.0
282.0	4007.0
283.0	4142.0
284.0	4065.0
285.0	4128.0
286.0	4282.0
287.0	4332.0
288.0	4369.0
289.0	4327.0
290.0	4569.0
291.0	4435.0
292.0	4595.0
293.0	4685.0
294.0	4642.0
295.0	4730.0
296.0	4832.0
297.0	4751.0
298.0	4712.0
299.0	4683.0
300.0	4765.0
301.0	4797.0
302.0	4711.0
303.0	4733.0
304.0	4723.0
305.0	4658.0
306.0	4722.0
307.0	4587.0
308.0	4575.0
309.0	4482.0
310.0	4444.0
311.0	4325.0
312.0	4334.0
313.0	4245.0
314.0	4238.0
315.0	4190.0
316.0	4063.0
317.0	4048.0
318.0	3892.0
319.0	3731.0
320.0	3749.0
321.0	3623.0
322.0	3537.0
323.0	3402.0
324.0	3327.0
325.0	3359.0
326.0	3219.0
327.0	3132.0
328.0	3009.0
329.0	2885.0
330.0	2918.0
331.0	2718.0
332.0	2509.0
333.0	2475.0
334.0	2471.0
335.0	2363.0
336.0	2207.0
337.0	2222.0
338.0	2090.0
339.0	1943.0
340.0	1820.0
341.0	1798.0
342.0	1741.0
343.0	1709.0
344.0	1597.0
345.0	1502.0
346.0	1453.0
347.0	1388.0
348.0	1291.0
349.0	1224.0
350.0	1176.0
351.0	1085.0
352.0	1054.0
353.0	939.0
354.0	904.0
355.0	847.0
356.0	829.0
357.0	790.0
358.0	699.0
359.0	686.0
360.0	613.0
361.0	595.0
362.0	546.0
363.0	510.0
364.0	447.0
365.0	424.0
366.0	393.0
367.0	364.0
368.0	379.0
369.0	305.0
370.0	307.0
371.0	246.0
372.0	280.0
373.0	233.0
374.0	210.0
375.0	189.0
376.0	154.0
377.0	163.0
378.0	173.0
379.0	134.0
380.0	136.0
381.0	118.0
382.0	118.0
383.0	86.0
384.0	97.0
385.0	92.0
386.0	83.0
387.0	61.0
388.0	47.0
389.0	69.0
390.0	49.0
391.0	32.0
392.0	38.0
393.0	34.0
394.0	44.0
395.0	26.0
396.0	30.0
397.0	13.0
398.0	22.0
399.0	21.0
400.0	10.0
401.0	20.0
402.0	13.0
403.0	9.0
404.0	15.0
405.0	13.0
406.0	10.0
407.0	12.0
408.0	10.0
409.0	5.0
410.0	7.0
411.0	11.0
412.0	4.0
413.0	5.0
414.0	4.0
415.0	4.0
416.0	3.0
417.0	1.0
418.0	1.0
419.0	2.0
420.0	1.0
421.0	2.0
422.0	1.0
423.0	1.0
424.0	1.0
425.0	1.0
427.0	1.0
428.0	2.0
436.0	1.0
439.0	1.0
442.0	1.0
444.0	1.0
452.0	1.0
453.0	1.0
463.0	1.0
