#Coverage	Number of genomic locations
0.0	2.0
1.0	11.0
2.0	24.0
3.0	10.0
4.0	10.0
5.0	6.0
6.0	12.0
7.0	12.0
8.0	3.0
9.0	5.0
10.0	5.0
11.0	4.0
12.0	8.0
13.0	5.0
14.0	9.0
15.0	11.0
16.0	61.0
17.0	88.0
18.0	148.0
19.0	287.0
20.0	442.0
21.0	869.0
22.0	1508.0
23.0	2696.0
24.0	4268.0
25.0	7132.0
26.0	11473.0
27.0	16430.0
28.0	23033.0
29.0	30557.0
30.0	39422.0
31.0	50210.0
32.0	61037.0
33.0	71630.0
34.0	82874.0
35.0	93708.0
36.0	103778.0
37.0	111575.0
38.0	117835.0
39.0	119690.0
40.0	117984.0
41.0	115456.0
42.0	110548.0
43.0	103514.0
44.0	93707.0
45.0	85233.0
46.0	74664.0
47.0	64141.0
48.0	53713.0
49.0	45742.0
50.0	37441.0
51.0	30923.0
52.0	24371.0
53.0	18736.0
54.0	14627.0
55.0	10834.0
56.0	8123.0
57.0	5888.0
58.0	4261.0
59.0	2934.0
60.0	2097.0
61.0	1411.0
62.0	891.0
63.0	595.0
64.0	352.0
65.0	256.0
66.0	175.0
67.0	48.0
68.0	33.0
69.0	7.0
70.0	15.0
71.0	4.0
72.0	10.0
73.0	3.0
