#Coverage	Number of genomic locations
0.0	3.0
1.0	18.0
2.0	5.0
3.0	10.0
4.0	14.0
5.0	10.0
6.0	14.0
7.0	11.0
8.0	16.0
9.0	10.0
10.0	9.0
11.0	7.0
12.0	4.0
13.0	13.0
14.0	9.0
15.0	16.0
16.0	55.0
17.0	104.0
18.0	224.0
19.0	291.0
20.0	613.0
21.0	969.0
22.0	1729.0
23.0	3080.0
24.0	4678.0
25.0	7085.0
26.0	10520.0
27.0	15161.0
28.0	22302.0
29.0	29901.0
30.0	38374.0
31.0	49556.0
32.0	60906.0
33.0	72067.0
34.0	83870.0
35.0	95829.0
36.0	106555.0
37.0	113567.0
38.0	117447.0
39.0	120488.0
40.0	119596.0
41.0	116025.0
42.0	111340.0
43.0	104587.0
44.0	95718.0
45.0	84896.0
46.0	73884.0
47.0	64021.0
48.0	54293.0
49.0	44690.0
50.0	36195.0
51.0	28620.0
52.0	22846.0
53.0	18472.0
54.0	13987.0
55.0	10588.0
56.0	7633.0
57.0	5444.0
58.0	3857.0
59.0	2505.0
60.0	1806.0
61.0	1132.0
62.0	706.0
63.0	476.0
64.0	304.0
65.0	195.0
66.0	140.0
67.0	79.0
68.0	31.0
69.0	7.0
70.0	5.0
71.0	4.0
72.0	3.0
