#Coverage (X)	Coverage
1.0	99.99984845614699
2.0	99.99893919302899
3.0	99.99868661994064
4.0	99.99818147376396
5.0	99.99747426911662
6.0	99.99696912293994
7.0	99.9962619182926
8.0	99.99570625749827
9.0	99.99489802361559
10.0	99.99439287743891
11.0	99.9939382458799
12.0	99.99358464355623
13.0	99.99338258508556
14.0	99.99272589505588
15.0	99.99227126349687
16.0	99.9914630296142
17.0	99.98868472564249
18.0	99.98343120540507
19.0	99.97211593104754
20.0	99.95741617730631
21.0	99.92645071667614
22.0	99.87750205215634
23.0	99.79016227820925
24.0	99.63457725579339
25.0	99.39826987434489
26.0	99.04037380817074
27.0	98.50896003030877
28.0	97.743107911852
29.0	96.61653090863169
30.0	95.10609332575613
31.0	93.16764538738397
32.0	90.66434299425396
33.0	87.58769969059797
34.0	83.94726273915515
35.0	79.71060175538297
36.0	74.8698364589253
37.0	69.48725137336618
38.0	63.75045778872261
39.0	57.81766748752921
40.0	51.731262234008966
41.0	45.68991601944813
42.0	39.828957504577886
43.0	34.20465997347982
44.0	28.921487655490296
45.0	24.086329481593722
46.0	19.797840500094708
47.0	16.065618488350054
48.0	12.83162215065984
49.0	10.089032013638942
50.0	7.831533750078918
51.0	6.0031571636042145
