#Insert size (bp)	insert size
165.0	1.0
168.0	1.0
170.0	4.0
171.0	2.0
172.0	4.0
175.0	3.0
176.0	2.0
177.0	2.0
178.0	1.0
179.0	2.0
180.0	3.0
181.0	1.0
182.0	4.0
183.0	3.0
184.0	1.0
185.0	3.0
186.0	3.0
187.0	5.0
188.0	3.0
189.0	6.0
190.0	7.0
191.0	5.0
192.0	3.0
193.0	14.0
194.0	10.0
195.0	13.0
196.0	13.0
197.0	20.0
198.0	20.0
199.0	17.0
200.0	20.0
201.0	23.0
202.0	26.0
203.0	35.0
204.0	29.0
205.0	38.0
206.0	39.0
207.0	38.0
208.0	55.0
209.0	38.0
210.0	46.0
211.0	56.0
212.0	75.0
213.0	78.0
214.0	81.0
215.0	95.0
216.0	117.0
217.0	116.0
218.0	125.0
219.0	136.0
220.0	124.0
221.0	139.0
222.0	181.0
223.0	172.0
224.0	209.0
225.0	207.0
226.0	208.0
227.0	267.0
228.0	272.0
229.0	340.0
230.0	287.0
231.0	344.0
232.0	377.0
233.0	393.0
234.0	444.0
235.0	531.0
236.0	483.0
237.0	543.0
238.0	542.0
239.0	633.0
240.0	681.0
241.0	659.0
242.0	795.0
243.0	837.0
244.0	831.0
245.0	923.0
246.0	1009.0
247.0	1062.0
248.0	1024.0
249.0	1117.0
250.0	1213.0
251.0	1234.0
252.0	1307.0
253.0	1415.0
254.0	1517.0
255.0	1608.0
256.0	1693.0
257.0	1775.0
258.0	1793.0
259.0	1874.0
260.0	1929.0
261.0	2092.0
262.0	2216.0
263.0	2296.0
264.0	2338.0
265.0	2406.0
266.0	2602.0
267.0	2648.0
268.0	2657.0
269.0	2863.0
270.0	2939.0
271.0	3016.0
272.0	3117.0
273.0	3234.0
274.0	3346.0
275.0	3395.0
276.0	3454.0
277.0	3598.0
278.0	3671.0
279.0	3862.0
280.0	3841.0
281.0	3899.0
282.0	3986.0
283.0	4144.0
284.0	4088.0
285.0	4265.0
286.0	4371.0
287.0	4340.0
288.0	4385.0
289.0	4528.0
290.0	4485.0
291.0	4493.0
292.0	4568.0
293.0	4710.0
294.0	4674.0
295.0	4662.0
296.0	4726.0
297.0	4730.0
298.0	4656.0
299.0	4725.0
300.0	4777.0
301.0	4700.0
302.0	4584.0
303.0	4756.0
304.0	4673.0
305.0	4670.0
306.0	4681.0
307.0	4546.0
308.0	4540.0
309.0	4472.0
310.0	4446.0
311.0	4306.0
312.0	4359.0
313.0	4255.0
314.0	4117.0
315.0	4074.0
316.0	4028.0
317.0	4007.0
318.0	3950.0
319.0	3815.0
320.0	3884.0
321.0	3591.0
322.0	3629.0
323.0	3506.0
324.0	3369.0
325.0	3365.0
326.0	3240.0
327.0	3056.0
328.0	3096.0
329.0	2857.0
330.0	2810.0
331.0	2658.0
332.0	2694.0
333.0	2591.0
334.0	2451.0
335.0	2311.0
336.0	2302.0
337.0	2152.0
338.0	2086.0
339.0	1976.0
340.0	1886.0
341.0	1763.0
342.0	1743.0
343.0	1663.0
344.0	1582.0
345.0	1476.0
346.0	1441.0
347.0	1407.0
348.0	1263.0
349.0	1231.0
350.0	1098.0
351.0	1062.0
352.0	953.0
353.0	952.0
354.0	898.0
355.0	815.0
356.0	804.0
357.0	767.0
358.0	750.0
359.0	695.0
360.0	620.0
361.0	617.0
362.0	553.0
363.0	474.0
364.0	491.0
365.0	389.0
366.0	428.0
367.0	366.0
368.0	334.0
369.0	308.0
370.0	283.0
371.0	272.0
372.0	272.0
373.0	240.0
374.0	218.0
375.0	191.0
376.0	179.0
377.0	172.0
378.0	125.0
379.0	132.0
380.0	136.0
381.0	128.0
382.0	105.0
383.0	100.0
384.0	103.0
385.0	66.0
386.0	77.0
387.0	75.0
388.0	51.0
389.0	62.0
390.0	58.0
391.0	43.0
392.0	40.0
393.0	30.0
394.0	42.0
395.0	23.0
396.0	24.0
397.0	16.0
398.0	23.0
399.0	14.0
400.0	21.0
401.0	7.0
402.0	15.0
403.0	14.0
404.0	6.0
405.0	9.0
406.0	16.0
407.0	10.0
408.0	11.0
409.0	5.0
410.0	6.0
411.0	2.0
412.0	7.0
413.0	3.0
414.0	4.0
415.0	6.0
416.0	2.0
417.0	2.0
418.0	4.0
419.0	2.0
420.0	1.0
421.0	2.0
422.0	2.0
425.0	1.0
426.0	3.0
427.0	1.0
428.0	1.0
429.0	1.0
430.0	1.0
432.0	1.0
462.0	1.0
463.0	1.0
483.0	1.0
