#Coverage (X)	Coverage
1.0	99.99939382458798
2.0	99.99893919302899
3.0	99.99848456146998
4.0	99.99762581296963
5.0	99.99742375449895
6.0	99.99717118141062
7.0	99.99707015217528
8.0	99.99691860832229
9.0	99.99661552061627
10.0	99.99641346214561
11.0	99.99611037443961
12.0	99.99570625749827
13.0	99.99545368440992
14.0	99.99525162593926
15.0	99.99489802361559
16.0	99.99434236282124
17.0	99.9914630296142
18.0	99.98555281934709
19.0	99.97585401275494
20.0	99.95731514807098
21.0	99.9240260150281
22.0	99.86881353791753
23.0	99.774098629791
24.0	99.62164551367052
25.0	99.37614447180653
26.0	98.98723243038454
27.0	98.4284397297468
28.0	97.62793458357012
29.0	96.50332765043885
30.0	95.04456652143713
31.0	93.1408726400202
32.0	90.69894550735619
33.0	87.6575614068321
34.0	84.03707772936794
35.0	79.8053166635095
36.0	75.06123634526742
37.0	69.84161141630359
38.0	64.26636357896066
39.0	58.368832480899165
40.0	52.36385679105892
41.0	46.38206731072805
42.0	40.471857043632006
43.0	34.81720022731578
44.0	29.525440424322795
45.0	24.638908884258385
46.0	20.298793963503186
47.0	16.5071162467639
48.0	13.20340973669255
49.0	10.442381764223015
50.0	8.136338953084547
51.0	6.262549725326764
