#Coverage	Number of genomic locations
0.0	12.0
1.0	9.0
2.0	9.0
3.0	17.0
4.0	4.0
5.0	5.0
6.0	2.0
7.0	3.0
8.0	6.0
9.0	4.0
10.0	6.0
11.0	8.0
12.0	5.0
13.0	4.0
14.0	7.0
15.0	11.0
16.0	57.0
17.0	117.0
18.0	192.0
19.0	367.0
20.0	659.0
21.0	1093.0
22.0	1875.0
23.0	3018.0
24.0	4860.0
25.0	7699.0
26.0	11062.0
27.0	15847.0
28.0	22263.0
29.0	28878.0
30.0	37686.0
31.0	48341.0
32.0	60208.0
33.0	71672.0
34.0	83773.0
35.0	93915.0
36.0	103329.0
37.0	110369.0
38.0	116749.0
39.0	118876.0
40.0	118417.0
41.0	117000.0
42.0	111941.0
43.0	104757.0
44.0	96735.0
45.0	85918.0
46.0	75061.0
47.0	65401.0
48.0	54658.0
49.0	45651.0
50.0	37094.0
51.0	29181.0
52.0	23345.0
53.0	18651.0
54.0	14181.0
55.0	10758.0
56.0	8058.0
57.0	5824.0
58.0	4392.0
59.0	3175.0
60.0	2159.0
61.0	1453.0
62.0	947.0
63.0	663.0
64.0	433.0
65.0	282.0
66.0	172.0
67.0	152.0
68.0	86.0
69.0	31.0
70.0	14.0
71.0	7.0
72.0	4.0
73.0	1.0
74.0	5.0
75.0	1.0
